_id,ltable_id,rtable_movieId,ltable_movie_title,ltable_title_year,ltable_genres,rtable_title,rtable_year,rtable_genres,label
2433,894,64716,seven pounds,2008,drama|romance,Seven Pounds,2008,Drama,1
4545,2842,4015,"dude, where's my car?",2000,comedy|mystery,"Dude, Where's My Car?",2000,Comedy|Sci-Fi,1
6907,3697,104908,insidious: chapter 2,2013,fantasy|horror|thriller,Insidious: Chapter 2,2013,Horror|Thriller,1
24168,4384,2891,"happy, texas",1999,comedy|crime|romance,"Happy, Texas",1999,Comedy,1
31352,1844,7980,a bridge too far,1977,drama|history|war,"Bridge Too Far, A",1977,Action|Drama|War,1
35987,874,2676,instinct,1999,drama|thriller,Instinct,1999,Drama|Thriller,1
37526,2582,1599,steel,1997,action|crime|sci-fi,Steel,1997,Action,1
50124,1212,1408,the last of the mohicans,1992,action|adventure|drama|romance|war,"Last of the Mohicans, The",1992,Action|Romance|War|Western,1
57296,2987,66200,two lovers,2008,drama|romance,Two Lovers,2008,Drama|Romance,1
64913,2952,2841,stir of echoes,1999,horror|mystery|thriller,Stir of Echoes,1999,Horror|Mystery|Thriller,1
65018,1992,30896,underclassman,2005,action|comedy|crime|drama|thriller,Underclassman,2005,Action|Comedy|Thriller,1
68431,2607,2858,american beauty,1999,drama,American Beauty,1999,Comedy|Drama,1
70358,354,3114,toy story 2,1999,adventure|animation|comedy|family|fantasy,Toy Story 2,1999,Adventure|Animation|Children|Comedy|Fantasy,1
71837,4075,6053,krush groove,1985,comedy|drama|music,Krush Groove,1985,Drama|Musical,1
78870,2401,41573,the family stone,2005,comedy|drama|romance,"Family Stone, The",2005,Comedy|Drama|Romance,1
79035,3854,111320,moms' night out,2014,comedy,Mom's Night Out,2014,Comedy,1
89379,4040,63808,the class,2008,drama,"Class, The (Entre les murs)",2008,Drama,1
90306,81,77561,iron man 2,2010,action|adventure|sci-fi,Iron Man 2,2010,Action|Adventure|Sci-Fi|Thriller|IMAX,1
