_id,ltable_id,rtable_movieId,ltable_title,ltable_year,ltable_genres,rtable_title,rtable_year,rtable_genres
0,1026,1,jade,1995,crime|drama|thriller,Toy Story,1995,Adventure|Animation|Children|Comedy|Fantasy
1,2053,1,bad boys,1995,action|comedy|crime|drama|thriller,Toy Story,1995,Adventure|Animation|Children|Comedy|Fantasy
2,2822,1,clueless,1995,comedy|romance,Toy Story,1995,Adventure|Animation|Children|Comedy|Fantasy
3,4662,1,welcome to the dollhouse,1995,comedy|drama,Toy Story,1995,Adventure|Animation|Children|Comedy|Fantasy
4,3593,1,the usual suspects,1995,crime|drama|mystery|thriller,Toy Story,1995,Adventure|Animation|Children|Comedy|Fantasy
5,1290,1,showgirls,1995,drama,Toy Story,1995,Adventure|Animation|Children|Comedy|Fantasy
6,5033,1,bang,1995,crime|drama,Toy Story,1995,Adventure|Animation|Children|Comedy|Fantasy
7,1420,1,species,1995,action|horror|sci-fi|thriller,Toy Story,1995,Adventure|Animation|Children|Comedy|Fantasy
8,4191,1,before sunrise,1995,drama|romance,Toy Story,1995,Adventure|Animation|Children|Comedy|Fantasy
9,656,1,apollo 13,1995,adventure|drama|history,Toy Story,1995,Adventure|Animation|Children|Comedy|Fantasy
10,2961,1,tales from the crypt: demon knight,1995,action|fantasy|horror|thriller,Toy Story,1995,Adventure|Animation|Children|Comedy|Fantasy
11,921,1,casino,1995,biography|crime|drama,Toy Story,1995,Adventure|Animation|Children|Comedy|Fantasy
12,3988,1,friday,1995,comedy|drama,Toy Story,1995,Adventure|Animation|Children|Comedy|Fantasy
13,3607,1,tales from the hood,1995,comedy|horror|thriller,Toy Story,1995,Adventure|Animation|Children|Comedy|Fantasy
14,3480,1,desperado,1995,action|crime|thriller,Toy Story,1995,Adventure|Animation|Children|Comedy|Fantasy
15,1561,1,the quick and the dead,1995,action|thriller|western,Toy Story,1995,Adventure|Animation|Children|Comedy|Fantasy
16,3740,1,halloween: the curse of michael myers,1995,horror|thriller,Toy Story,1995,Adventure|Animation|Children|Comedy|Fantasy
