,_id,ltable_id,rtable_movieId,ltable_movie_title,ltable_title_year,ltable_genres,rtable_title,rtable_year,rtable_genres,label
141,640561,3382,69253,new in town,2009,comedy|romance,New in Town,2009,Comedy|Romance,1
383,1475,2654,93492,drive,2011,crime|drama,Like Water,2011,Documentary,0
135,620734,4840,2127,"first love, last rites",1997,drama|romance,"First Love, Last Rites",1997,Drama|Romance,1
493,2413,117,64716,hancock,2008,action|drama,Seven Pounds,2008,Drama,0
122,573655,716,112556,gone girl,2014,crime|drama|mystery|thriller,Gone Girl,2014,Drama|Thriller,1
22,122877,3467,858,the godfather,1972,crime|drama,"Godfather, The",1972,Crime|Drama,1
68,357756,445,49647,charlotte's web,2006,comedy|family|fantasy,Charlotte's Web,2006,Children|Comedy|Drama|Fantasy,1
20,116762,912,5989,catch me if you can,2002,biography|crime|drama,Catch Me If You Can,2002,Crime|Drama,1
382,1464,2148,93492,tinker tailor soldier spy,2011,drama|mystery|thriller,Like Water,2011,Documentary,0
14,78870,2401,41573,the family stone,2005,comedy|drama|romance,"Family Stone, The",2005,Comedy|Drama|Romance,1
278,726,4902,103816,middle of nowhere,2012,drama,"Battery, The",2012,Drama|Horror,0
225,262,2047,84116,faster,2010,action|crime|drama|thriller,Poetry (Shi),2010,Drama,0
64,315565,2162,1388,jaws 2,1978,adventure|horror|thriller,Jaws 2,1978,Horror|Thriller,1
381,1462,2041,93492,i don't know how she does it,2011,comedy|romance,Like Water,2011,Documentary,0
231,321,3945,84116,trust,2010,crime|drama|thriller,Poetry (Shi),2010,Drama,0
81,415885,3396,3909,woman on top,2000,comedy|fantasy|romance,Woman on Top,2000,Comedy|Romance,1
401,1607,2006,106450,bad lieutenant: port of call new orleans,2009,crime|drama,Chicago Overcoat,2009,Action|Drama,0
302,892,1951,115963,don't be afraid of the dark,2010,fantasy|horror|thriller,The Stoker,2010,Crime|Drama,0
499,2447,1740,64716,frost/nixon,2008,drama,Seven Pounds,2008,Drama,0
471,2295,1370,96817,the town,2010,crime|drama|thriller,Boxing Gym,2010,Documentary,0
455,2084,4834,101715,wendy and lucy,2008,drama,Loaded,2008,Action|Crime|Drama|Thriller,0
160,703572,1017,3053,the messenger: the story of joan of arc,1999,adventure|biography|drama|history|war,"Messenger: The Story of Joan of Arc, The",1999,Drama|War,1
478,2341,3071,96817,brighton rock,2010,crime|drama|thriller,Boxing Gym,2010,Documentary,0
364,1382,4680,90430,kill list,2011,crime|horror|thriller,Carnage,2011,Comedy|Drama,0
496,2426,457,64716,bedtime stories,2008,comedy|family|fantasy|romance,Seven Pounds,2008,Drama,0
206,81,2705,49130,black snake moan,2006,drama|music,"Good Year, A",2006,Comedy|Drama|Romance,0
319,1067,2736,7454,district b13,2004,action|crime|thriller,Van Helsing,2004,Action|Adventure|Fantasy|Horror,0
51,235642,377,3826,hollow man,2000,action|horror|sci-fi|thriller,Hollow Man,2000,Horror|Sci-Fi|Thriller,1
306,929,3232,115963,blood done sign my name,2010,drama,The Stoker,2010,Crime|Drama,0
452,2067,4316,101715,eden lake,2008,horror|thriller,Loaded,2008,Action|Crime|Drama|Thriller,0
332,1148,928,68265,shrek,2001,adventure|animation|comedy|family|fantasy,"Days Between, The (In den Tag hinein)",2001,Drama,0
164,715161,1128,1762,deep rising,1998,action|adventure|horror|sci-fi,Deep Rising,1998,Action|Horror|Sci-Fi,1
106,520509,4156,910,some like it hot,1959,comedy|music|romance,Some Like It Hot,1959,Comedy|Crime,1
481,2359,3527,96817,hesher,2010,drama,Boxing Gym,2010,Documentary,0
63,312315,2743,5020,silent trigger,1996,action|drama|thriller,Silent Trigger,1996,Action|Drama,1
344,1220,3341,68265,glitter,2001,drama|music|romance,"Days Between, The (In den Tag hinein)",2001,Drama,0
427,1874,3315,5480,all or nothing,2002,drama,Stuart Little 2,2002,Children|Comedy,0
439,1955,371,101715,valkyrie,2008,drama|history|thriller|war,Loaded,2008,Action|Crime|Drama|Thriller,0
320,1075,3083,7454,the blue butterfly,2004,adventure|drama,Van Helsing,2004,Action|Adventure|Fantasy|Horror,0
89,456411,4557,2171,next stop wonderland,1998,comedy|drama|romance,Next Stop Wonderland,1998,Comedy|Drama|Romance,1
312,976,4434,115963,amigo,2010,drama|war,The Stoker,2010,Crime|Drama,0
450,2052,3632,101715,the wackness,2008,comedy|drama|romance,Loaded,2008,Action|Crime|Drama|Thriller,0
93,471958,2349,105217,zambezia,2012,adventure|animation|comedy|family,Adventures in Zambezia,2012,Adventure|Animation|Children|Comedy,1
298,876,1227,115963,get him to the greek,2010,comedy|music,The Stoker,2010,Crime|Drama,0
459,2129,616,5957,i spy,2002,action|adventure|comedy|thriller,Two Weeks Notice,2002,Comedy|Romance,0
308,936,3390,115963,easy a,2010,comedy|romance,The Stoker,2010,Crime|Drama,0
395,1539,4851,93492,some guy who kills people,2011,comedy|crime|drama|horror|mystery|thriller,Like Water,2011,Documentary,0
92,471764,1201,3273,scream 3,2000,horror|mystery,Scream 3,2000,Comedy|Horror|Mystery|Thriller,1
18,106096,4301,33725,it's all gone pete tong,2004,biography|comedy|drama|music,It's All Gone Pete Tong,2004,Comedy|Drama|Musical,1
198,833169,3206,5994,nicholas nickleby,2002,drama|romance,Nicholas Nickleby,2002,Drama|Romance,1
145,656412,3787,114013,atlas shrugged: who is john galt?,2014,drama|mystery|sci-fi,Atlas Shrugged: Who Is John Galt? (Atlas Shrugged: Part III),2014,Drama|Mystery|Sci-Fi,1
158,696900,1009,2761,the iron giant,1999,action|adventure|animation|comedy|drama|family|sci-fi,"Iron Giant, The",1999,Adventure|Animation|Children|Drama|Sci-Fi,1
150,678022,2537,51834,becoming jane,2007,biography|drama|romance,Becoming Jane,2007,Drama|Romance,1
479,2346,3232,96817,blood done sign my name,2010,drama,Boxing Gym,2010,Documentary,0
167,721640,4915,55908,the man from earth,2007,drama|romance|sci-fi,"Man from Earth, The",2007,Drama|Sci-Fi,1
255,582,5006,39183,mutual appreciation,2005,comedy,Brokeback Mountain,2005,Drama|Romance,0
230,317,3838,84116,the names of love,2010,comedy|drama|romance,Poetry (Shi),2010,Drama,0
422,1830,1805,5480,divine secrets of the ya-ya sisterhood,2002,drama,Stuart Little 2,2002,Children|Comedy,0
66,347522,1946,1840,he got game,1998,drama|sport,He Got Game,1998,Drama,1
309,944,3534,115963,ca$h,2010,comedy|crime|thriller,The Stoker,2010,Crime|Drama,0
253,567,4606,39183,the helix... loaded,2005,action|adventure|comedy|fantasy|sci-fi,Brokeback Mountain,2005,Drama|Romance,0
140,630931,3473,2991,live and let die,1973,action|adventure|thriller,Live and Let Die,1973,Action|Adventure|Thriller,1
101,494773,60,54648,rush hour 3,2007,action|comedy|crime|thriller,Rush Hour 3,2007,Action|Comedy|Crime|Thriller,1
433,1906,4656,5480,time changer,2002,drama|fantasy|sci-fi,Stuart Little 2,2002,Children|Comedy,0
2,6907,3697,104908,insidious: chapter 2,2013,fantasy|horror|thriller,Insidious: Chapter 2,2013,Horror|Thriller,1
408,1646,3237,106450,the good guy,2009,comedy|romance,Chicago Overcoat,2009,Action|Drama,0
17,90306,81,77561,iron man 2,2010,action|adventure|sci-fi,Iron Man 2,2010,Action|Adventure|Sci-Fi|Thriller|IMAX,1
146,658307,2592,116207,zulu,2013,crime|drama|thriller,Zulu,2013,Crime|Drama|Thriller,1
249,538,3439,39183,thank you for smoking,2005,comedy|drama,Brokeback Mountain,2005,Drama|Romance,0
263,644,2138,103816,silver linings playbook,2012,comedy|drama|romance,"Battery, The",2012,Drama|Horror,0
30,158550,830,653,dragonheart,1996,action|adventure|fantasy,Dragonheart,1996,Action|Adventure|Fantasy,1
114,555794,3873,129845,falcon rising,2014,action|adventure,Falcon Rising,2014,Action|Adventure,1
247,522,2598,39183,slow burn,2005,drama|mystery|thriller,Brokeback Mountain,2005,Drama|Romance,0
103,503122,1184,93287,the big year,2011,comedy,"Big Year, The",2011,Comedy,1
405,1640,3022,106450,the cry of the owl,2009,drama|thriller,Chicago Overcoat,2009,Action|Drama,0
310,950,3838,115963,the names of love,2010,comedy|drama|romance,The Stoker,2010,Crime|Drama,0
176,752000,165,34334,stealth,2005,action|adventure|sci-fi|thriller,Stealth,2005,Action|Adventure|Sci-Fi|Thriller,1
246,520,2398,39183,the exorcism of emily rose,2005,drama|horror|thriller,Brokeback Mountain,2005,Drama|Romance,0
116,559986,1332,50802,because i said so,2007,comedy|romance,Because I Said So,2007,Comedy|Drama|Romance,1
168,723211,931,1393,jerry maguire,1996,comedy|drama|romance|sport,Jerry Maguire,1996,Drama|Romance,1
415,1742,2609,3613,twins,1988,comedy|crime,Things Change,1988,Comedy,0
120,569575,1339,61026,red cliff,2008,action|adventure|drama|history|war,Red Cliff (Chi bi),2008,Action|Adventure|Drama|War,1
261,634,1616,103816,looper,2012,action|crime|drama|sci-fi|thriller,"Battery, The",2012,Drama|Horror,0
112,544402,2762,39869,manderlay,2005,drama,Manderlay,2005,Drama,1
360,1354,3823,90430,the awakening,2011,horror|thriller,Carnage,2011,Comedy|Drama,0
435,1929,2896,5734,quest for fire,1981,adventure|drama|history,Faces of Death 2,1981,Documentary|Horror,0
282,758,1004,31856,basic,2003,action|crime|drama|mystery|thriller,Surplus: Terrorized Into Being Consumers,2003,Documentary,0
136,622838,2688,3889,highlander: endgame,2000,action|adventure|fantasy|sci-fi,Highlander: Endgame (Highlander IV),2000,Action|Adventure|Fantasy,1
190,811240,4079,2623,trippin',1999,comedy,Trippin',1999,Comedy,1
347,1247,19,90430,pirates of the caribbean: on stranger tides,2011,action|adventure|fantasy,Carnage,2011,Comedy|Drama,0
181,781213,2314,31424,alone in the dark,2005,horror|sci-fi,Alone in the Dark,2005,Action|Horror|Sci-Fi|Thriller,1
126,587231,2501,2296,a night at the roxbury,1998,comedy|music|romance,"Night at the Roxbury, A",1998,Comedy,1
281,750,603,31856,big fish,2003,adventure|drama|fantasy,Surplus: Terrorized Into Being Consumers,2003,Documentary,0
252,566,4472,39183,neal 'n' nikki,2005,comedy|musical|romance,Brokeback Mountain,2005,Drama|Romance,0
407,1644,3227,106450,world's greatest dad,2009,comedy|drama,Chicago Overcoat,2009,Action|Drama,0
