,_id,ltable_id,rtable_movieId,ltable_movie_title,ltable_title_year,ltable_genres,rtable_title,rtable_year,rtable_genres,label
90,457561,4831,6881,pieces of april,2003,comedy|drama,Pieces of April,2003,Comedy|Drama,1
254,581,4992,39183,the call of cthulhu,2005,fantasy|horror|mystery|thriller,Brokeback Mountain,2005,Drama|Romance,0
283,771,1834,31856,freaky friday,2003,comedy|family|fantasy|music|romance,Surplus: Terrorized Into Being Consumers,2003,Documentary,0
445,2013,2378,101715,sex drive,2008,adventure|comedy|romance,Loaded,2008,Action|Crime|Drama|Thriller,0
461,2169,1651,5957,blue crush,2002,drama|romance|sport,Two Weeks Notice,2002,Comedy|Romance,0
15,79035,3854,111320,moms' night out,2014,comedy,Mom's Night Out,2014,Comedy,1
316,1023,1301,7454,alfie,2004,comedy|drama|romance,Van Helsing,2004,Action|Adventure|Fantasy|Horror,0
489,2395,4523,96817,beyond the black rainbow,2010,sci-fi|thriller,Boxing Gym,2010,Documentary,0
159,699831,4168,25890,a guy named joe,1943,drama|fantasy|romance|war,"Guy Named Joe, A",1943,Drama|Fantasy|Romance|War,1
153,686604,2990,5845,the pursuit of d.b. cooper,1981,adventure|crime|thriller,"Pursuit of D.B. Cooper, The (a.k.a. Pursuit)",1981,Adventure,1
241,456,116,39183,harry potter and the goblet of fire,2005,adventure|family|fantasy|mystery,Brokeback Mountain,2005,Drama|Romance,0
250,558,4278,39183,harsh times,2005,action|crime|drama|thriller,Brokeback Mountain,2005,Drama|Romance,0
390,1518,4259,93492,silent house,2011,drama|horror|mystery|thriller,Like Water,2011,Documentary,0
289,810,3577,31856,good bye lenin!,2003,drama|romance,Surplus: Terrorized Into Being Consumers,2003,Documentary,0
171,732883,1545,45666,nacho libre,2006,comedy|family|sport,Nacho Libre,2006,Comedy,1
329,1125,5027,7454,clean,2004,drama|music|romance,Van Helsing,2004,Action|Adventure|Fantasy|Horror,0
468,2233,3923,5957,secretary,2002,comedy|drama|romance,Two Weeks Notice,2002,Comedy|Romance,0
355,1327,2890,90430,attack the block,2011,action|comedy|sci-fi|thriller,Carnage,2011,Comedy|Drama,0
154,690862,5016,6978,slacker,1991,comedy|drama,Slacker,1991,Comedy|Drama,1
37,178292,4179,899,singin' in the rain,1952,comedy|musical|romance,Singin' in the Rain,1952,Comedy|Musical|Romance,1
205,69,2497,49130,smokin' aces,2006,action|crime|drama|thriller,"Good Year, A",2006,Comedy|Drama|Romance,0
366,1389,4923,90430,weekend,2011,drama|romance,Carnage,2011,Comedy|Drama,0
240,444,4699,1853,hav plenty,1997,comedy,"Alan Smithee Film: Burn Hollywood Burn, An",1997,Comedy,0
108,527543,4613,69159,jimmy and judy,2006,crime|drama|thriller,Jimmy and Judy,2006,Crime|Drama|Thriller,1
45,209689,1066,4639,america's sweethearts,2001,comedy|romance,America's Sweethearts,2001,Comedy|Romance,1
438,1945,59,101715,wallÃ‚Â·e,2008,adventure|animation|family|sci-fi,Loaded,2008,Action|Crime|Drama|Thriller,0
21,118999,2812,115824,mr. turner,2014,biography|drama|history,Mr. Turner,2014,Drama,1
367,1398,5038,90430,newlyweds,2011,comedy|drama,Carnage,2011,Comedy|Drama,0
96,478421,1137,120222,foodfight!,2012,action|animation|comedy|family|fantasy,Foodfight!,2012,Action|Animation|Children|Comedy,1
233,334,4271,84116,winter's bone,2010,drama,Poetry (Shi),2010,Drama,0
428,1875,3385,5480,the good girl,2002,drama|romance,Stuart Little 2,2002,Children|Comedy,0
118,565089,2322,68848,the brothers bloom,2008,adventure|comedy|drama|romance,"Brothers Bloom, The",2008,Adventure|Comedy|Crime|Romance,1
124,583099,4853,1639,chasing amy,1997,comedy|drama|romance,Chasing Amy,1997,Comedy|Drama|Romance,1
191,813260,2914,4519,the land before time,1988,adventure|animation|family,"Land Before Time, The",1988,Adventure|Animation|Children|Fantasy,1
374,1432,1257,93492,scream 4,2011,horror|mystery,Like Water,2011,Documentary,0
492,2409,55,64716,indiana jones and the kingdom of the crystal skull,2008,action|adventure|fantasy,Seven Pounds,2008,Drama,0
311,957,4093,115963,please give,2010,comedy|drama,The Stoker,2010,Crime|Drama,0
451,2058,3804,101715,the cottage,2008,comedy|crime|horror|thriller,Loaded,2008,Action|Crime|Drama|Thriller,0
353,1302,1876,90430,the help,2011,drama,Carnage,2011,Comedy|Drama,0
238,414,1908,1853,nothing to lose,1997,action|adventure|comedy|crime,"Alan Smithee Film: Burn Hollywood Burn, An",1997,Comedy,0
322,1086,3571,7454,a home at the end of the world,2004,drama|romance,Van Helsing,2004,Action|Adventure|Fantasy|Horror,0
46,222328,3375,497,much ado about nothing,1993,comedy|drama|romance,Much Ado About Nothing,1993,Comedy|Romance,1
403,1625,2514,106450,brooklyn's finest,2009,crime|drama|thriller,Chicago Overcoat,2009,Action|Drama,0
221,234,782,84116,edge of darkness,2010,crime|drama|mystery|thriller,Poetry (Shi),2010,Drama,0
76,395204,2095,40614,derailed,2005,drama|thriller,Derailed,2005,Drama|Thriller,1
1,4545,2842,4015,"dude, where's my car?",2000,comedy|mystery,"Dude, Where's My Car?",2000,Comedy|Sci-Fi,1
213,174,1026,212,jade,1995,crime|drama|thriller,Bushwhacked,1995,Adventure|Comedy|Crime|Mystery,0
325,1109,4486,7454,saw,2004,horror|mystery|thriller,Van Helsing,2004,Action|Adventure|Fantasy|Horror,0
418,1763,3366,110223,escape from alcatraz,1979,biography|crime|drama,"Prisoner of Zenda, The",1979,Adventure|Comedy,0
102,495534,2967,105715,just wright,2010,comedy|romance|sport,Just Wright,2010,Comedy|Romance,1
363,1372,4505,90430,q,2011,drama,Carnage,2011,Comedy|Drama,0
