lid,rid,title,year,genres
1,72998,Avatar,2009,sci-fi|action|imax|fantasy|adventure
2,53125,Pirates of the Caribbean: At World's End,2007,fantasy|comedy|adventure|action
3,127216,Unexpected,2015,thriller|action|drama|adventure|comedy
4,91529,"Dark Knight Rises, The",2012,crime|thriller|imax|action|adventure
5,,star wars: episode vii - the force awakens,.,documentary
6,93363,John Carter,2012,imax|sci-fi|adventure|action
7,51933,Pride,2007,drama|adventure|romance|action
8,81229,Red,2010,animation|romance|action|fantasy|musical|family|adventure|comedy
9,,avengers: age of ultron,2015,action|adventure|sci-fi
10,69844,Harry Potter and the Half-Blood Prince,2009,romance|imax|fantasy|family|mystery|adventure
11,,batman v superman: dawn of justice,2016,action|adventure|sci-fi
12,46530,Superman Returns,2006,imax|sci-fi|adventure|action
13,63113,Quantum of Solace,2008,thriller|adventure|action
14,45722,Pirates of the Caribbean: Dead Man's Chest,2006,fantasy|adventure|action
15,103384,"Lone Ranger, The",2013,imax|western|adventure|action
16,103042,Man of Steel,2013,sci-fi|action|imax|fantasy|adventure
17,59501,"Chronicles of Narnia: Prince Caspian, The",2008,action|fantasy|family|children|adventure
18,89745,"Avengers, The",2012,imax|sci-fi|adventure|action
19,86880,Pirates of the Caribbean: On Stranger Tides,2011,imax|fantasy|adventure|action
20,92422,"Woman in Black, The",2012,sci-fi|horror|action|thriller|fantasy|family|drama|adventure|comedy
21,118696,The Hobbit: The Battle of the Five Armies,2014,fantasy|adventure
22,95510,"Amazing Spider-Man, The",2012,sci-fi|action|imax|fantasy|adventure
23,75395,Frozen,2010,horror|action|thriller|history|drama|adventure
24,106489,"Hobbit: The Desolation of Smaug, The",2013,imax|fantasy|adventure
25,55274,Elizabeth: The Golden Age,2007,fantasy|family|drama|adventure
26,38061,Kiss Kiss Bang Bang,2005,crime|romance|action|mystery|thriller|drama|adventure|comedy
27,1721,Titanic,1997,drama|romance
28,,captain america: civil war,2016,action|adventure|sci-fi
29,94018,Battleship,2012,sci-fi|thriller|imax|action|adventure
30,,jurassic world,2015,action|adventure|sci-fi|thriller
31,96079,Skyfall,2012,imax|thriller|adventure|action
32,8636,Spider-Man 2,2004,sci-fi|romance|action|imax|fantasy|adventure
33,102051,Iron Man: Rise Of Technovore,2013,animation|sci-fi|adventure|action
34,78974,Malice N Wonderland,2010,fantasy|musical|family|drama|adventure
35,44193,She's the Man,2006,sci-fi|romance|thriller|action|fantasy|adventure|comedy
36,103141,Monsters University,2013,animation|fantasy|family|adventure|comedy
37,69526,Transformers: Revenge of the Fallen,2009,imax|sci-fi|adventure|action
38,112370,Transformers: Age of Extinction,2014,sci-fi|adventure|action
39,101112,Oz the Great and Powerful,2013,action|imax|fantasy|family|adventure
40,110553,The Amazing Spider-Man 2,2014,sci-fi|action|imax|fantasy|adventure
41,82461,Tron: Legacy,2010,imax|sci-fi|adventure|action
42,85261,Mars Needs Moms,2011,animation|sport|sci-fi|action|imax|family|children|adventure|comedy
43,87430,Green Lantern,2011,sci-fi|adventure|action
44,78499,Toy Story 3,2010,animation|imax|fantasy|family|children|adventure|comedy
45,68791,Terminator Salvation,2009,sci-fi|thriller|adventure|action
46,,furious 7,2015,action|crime|thriller
47,103249,World War Z,2013,sci-fi|horror|thriller|action|imax|drama|adventure
48,111362,X-Men: Days of Future Past,2014,sci-fi|thriller|action|fantasy|adventure
49,102445,Star Trek Into Darkness,2013,imax|sci-fi|adventure|action
50,101025,Jack the Giant Slayer,2013,imax|fantasy|adventure
51,102407,"Great Gatsby, The",2013,drama|romance
52,,prince of persia: the sands of time,2010,action|adventure|fantasy|romance
53,103228,Pacific Rim,2013,imax|sci-fi|adventure|action
54,87520,Transformers: Dark of the Moon,2011,sci-fi|action|imax|war|adventure
55,59615,Indiana Jones and the Kingdom of the Crystal Skull,2008,sci-fi|action|fantasy|adventure|comedy
56,,the good dinosaur,2015,adventure|animation|comedy|family|fantasy
57,93982,"Raven, The",2012,animation|thriller|fantasy|family|mystery|adventure|comedy
58,,star trek beyond,2016,action|adventure|sci-fi|thriller
59,86988,Ballou,2008,animation|sci-fi|documentary|musical|family|adventure
